state_name,votes,year,party
Indiana,1140425.0,2012,dem
Iowa,816429.0,2012,dem
Kansas,427918.0,2012,dem
Kentucky,679340.0,2012,dem
Louisiana,808496.0,2012,dem
Maine,397754.0,2012,dem
Maryland,1527686.0,2012,dem
Massachusetts,1901276.0,2012,dem
Michigan,2561911.0,2012,dem
Minnesota,1547668.0,2012,dem
Mississippi,528260.0,2012,dem
Missouri,1215031.0,2012,dem
Montana,200489.0,2012,dem
Nebraska,289154.0,2012,dem
Nevada,528801.0,2012,dem
New Hampshire,368529.0,2012,dem
New Jersey,1960744.0,2012,dem
New Mexico,408312.0,2012,dem
New York,3875826.0,2012,dem
North Carolina,2178388.0,2012,dem
North Dakota,124490.0,2012,dem
Ohio,2697260.0,2012,dem
Oklahoma,442647.0,2012,dem
Oregon,932459.0,2012,dem
Pennsylvania,2907448.0,2012,dem
Rhode Island,274342.0,2012,dem
South Carolina,845756.0,2012,dem
South Dakota,142066.0,2012,dem
Tennessee,953043.0,2012,dem
Texas,3294440.0,2012,dem
Utah,229463.0,2012,dem
Vermont,199259.0,2012,dem
Virginia,1904303.0,2012,dem
Washington,1588309.0,2012,dem
West Virginia,234925.0,2012,dem
Wisconsin,1613950.0,2012,dem
Wyoming,68780.0,2012,dem
Alabama,1252453.0,2012,gop
Alaska,0.0,2012,gop
Arizona,1107130.0,2012,gop
Arkansas,643717.0,2012,gop
California,4046524.0,2012,gop
Colorado,1125391.0,2012,gop
Connecticut,631432.0,2012,gop
Delaware,165476.0,2012,gop
District of Columbia,17337.0,2012,gop
Florida,4162081.0,2012,gop
Georgia,2070221.0,2012,gop
Hawaii,119494.0,2012,gop
Idaho,420750.0,2012,gop
Illinois,2094526.0,2012,gop
Indiana,1412620.0,2012,gop
Iowa,727928.0,2012,gop
Kansas,678719.0,2012,gop
Kentucky,1087127.0,2012,gop
Louisiana,1152460.0,2012,gop
Maine,290437.0,2012,gop
Maryland,904970.0,2012,gop
Massachusetts,1178245.0,2012,gop
Michigan,2112673.0,2012,gop
Minnesota,1321575.0,2012,gop
Mississippi,674302.0,2012,gop
Missouri,1478961.0,2012,gop
Montana,264974.0,2012,gop
Nebraska,462972.0,2012,gop
Nevada,462422.0,2012,gop
New Hampshire,327870.0,2012,gop
New Jersey,1383233.0,2012,gop
New Mexico,331915.0,2012,gop
New York,2226637.0,2012,gop
North Carolina,2275853.0,2012,gop
